,Season,Transfer Type,Player,Club,Transfer Sum
104,19/20,Départs,Nacho Monreal,Real Sociedad,250 K €
105,19/20,Départs,William Saliba,Saint-Étienne,Prêt
106,19/20,Départs,Stephan Lichtsteiner,FC Augsburg,Transfert libre
107,19/20,Départs,Aaron Ramsey,Juventus Turin,Transfert libre
108,19/20,Départs,Danny Welbeck,Watford,Transfert libre
109,19/20,Départs,Dejan Iliev,SKF Sered,Prêt
110,19/20,Départs,Eddie Nketiah,Leeds United,Prêt
111,19/20,Départs,Dejan Iliev,Jagiellonia,Prêt
112,19/20,Départs,Mohamed Elneny,Besiktas,Prêt
113,19/20,Départs,Konstantinos Mavropanos,1.FC Nürnberg,Prêt
114,19/20,Départs,Petr Cech,Fin de carrière,-
115,19/20,Arrivées,Lucas Torreira,Sampdoria,"28,65 mio. €"
116,19/20,Arrivées,Bernd Leno,B. Leverkusen,"25,00 mio. €"
117,19/20,Arrivées,Sokratis Papastathopoulos,Bor. Dortmund,"16,00 mio. €"
118,19/20,Arrivées,Mattéo Guendouzi,FC Lorient,"8,00 mio. €"
119,19/20,Arrivées,Denis Suárez,Barcelone,"Montant du prêt:2,50 mio. €"
120,19/20,Arrivées,Stephan Lichtsteiner,Juventus Turin,Transfert libre
121,19/20,Arrivées,Eddie Nketiah,Arsenal U23,-
122,19/20,Arrivées,Matt Macey,Plymouth Argyle,Fin du prêt
123,19/20,Arrivées,Calum Chambers,FC Fulham,Fin du prêt
124,19/20,Arrivées,Krystian Bielik,Charlton,Fin du prêt
125,19/20,Arrivées,Emiliano Martínez,Reading,Fin du prêt
126,19/20,Arrivées,Dejan Iliev,Arsenal U23,-
127,18/19,Départs,Lucas Pérez,West Ham Utd.,"4,40 mio. €"
128,18/19,Départs,Chuba Akpom,PAOK Saloniki,"2,20 mio. €"
129,18/19,Départs,Joel Campbell,Frosinone,"1,50 mio. €"
130,18/19,Départs,Takuma Asano,Hannover 96,"Montant du prêt:1,00 mio. €"
131,18/19,Départs,Jack Wilshere,West Ham Utd.,Transfert libre
132,18/19,Départs,Matt Macey,Plymouth Argyle,Prêt
133,18/19,Départs,Santi Cazorla,Villarreal CF,Transfert libre
134,18/19,Départs,Emiliano Martínez,Reading,Prêt
135,18/19,Départs,Calum Chambers,FC Fulham,Prêt
136,18/19,Départs,Krystian Bielik,Charlton,Prêt
137,18/19,Départs,David Ospina,Napoli,Prêt
138,18/19,Départs,Per Mertesacker,Fin de carrière,-
139,18/19,Arrivées,Pierre-Emerick Aubameyang,Bor. Dortmund,"63,75 mio. €"
140,18/19,Arrivées,Alexandre Lacazette,Ol. Lyonnais,"53,00 mio. €"
141,18/19,Arrivées,Henrikh Mkhitaryan,Manchester Utd.,"34,00 mio. €"
142,18/19,Arrivées,Konstantinos Mavropanos,PAS Giannina,"2,10 mio. €"
143,18/19,Arrivées,Sead Kolasinac,FC Schalke 04,Transfert libre
144,18/19,Arrivées,Carl Jenkinson,Birmingham,Fin du prêt
145,18/19,Arrivées,Krystian Bielik,FC Walsall,Fin du prêt
146,18/19,Arrivées,Ainsley Maitland-Niles,Arsenal U23,-
147,17/18,Départs,Alex Oxlade-Chamberlain,Liverpool,"38,00 mio. €"
148,17/18,Départs,Alexis Sánchez,Manchester Utd.,"34,00 mio. €"
149,17/18,Départs,Theo Walcott,FC Everton,"22,50 mio. €"
150,17/18,Départs,Wojciech Szczesny,Juventus Turin,"18,00 mio. €"
151,17/18,Départs,Olivier Giroud,Chelsea,"17,00 mio. €"
152,17/18,Départs,Francis Coquelin,FC Valencia,"14,00 mio. €"
153,17/18,Départs,Gabriel Paulista,FC Valencia,"11,00 mio. €"
154,17/18,Départs,Kieran Gibbs,West Brom,"7,50 mio. €"
155,17/18,Départs,Mathieu Debuchy,Saint-Étienne,Transfert libre
156,17/18,Départs,Krystian Bielik,FC Walsall,Prêt
157,17/18,Départs,Yaya Sanogo,Toulouse,Transfert libre
158,17/18,Départs,Chuba Akpom,Saint-Trond,Prêt
159,17/18,Départs,Emiliano Martínez,FC Getafe,Prêt
160,17/18,Départs,Carl Jenkinson,Birmingham,Prêt
161,17/18,Départs,Lucas Pérez,Dep. La Coruña,Prêt
162,17/18,Départs,Joel Campbell,Real Betis,Prêt
163,17/18,Arrivées,Granit Xhaka,Bor. M'gladbach,"45,00 mio. €"
164,17/18,Arrivées,Shkodran Mustafi,FC Valencia,"41,00 mio. €"
165,17/18,Arrivées,Lucas Pérez,Dep. La Coruña,"20,00 mio. €"
166,17/18,Arrivées,Takuma Asano,Sanf. Hiroshima,"4,00 mio. €"
167,17/18,Arrivées,Rob Holding,Bolton,"3,00 mio. €"
168,17/18,Arrivées,Matt Macey,Luton,Fin du prêt
169,17/18,Arrivées,Calum Chambers,Middlesbrough,Fin du prêt
170,17/18,Arrivées,Jack Wilshere,Bournemouth,Fin du prêt
171,17/18,Arrivées,Chuba Akpom,Brighton,Fin du prêt
172,17/18,Arrivées,Krystian Bielik,Birmingham,Fin du prêt
173,16/17,Départs,Serge Gnabry,Werder Bremen,"5,00 mio. €"
174,16/17,Départs,Wellington Silva,Fluminense,"3,00 mio. €"
175,16/17,Départs,Jack Wilshere,Bournemouth,"Montant du prêt:2,35 mio. €"
176,16/17,Départs,Krystian Bielik,Birmingham,Prêt
177,16/17,Départs,Matt Macey,Luton,Prêt
178,16/17,Départs,Tomas Rosicky,Sparta Prague,Transfert libre
179,16/17,Départs,Chuba Akpom,Brighton,Prêt
180,16/17,Départs,Joel Campbell,Sporting CP,Prêt
181,16/17,Départs,Takuma Asano,VfB Stuttgart,Prêt
182,16/17,Départs,Calum Chambers,Middlesbrough,Prêt
183,16/17,Départs,Mikel Arteta,Fin de carrière,-
184,16/17,Départs,Mathieu Flamini,Sans club,-
185,16/17,Arrivées,Petr Cech,Chelsea,"14,00 mio. €"
186,16/17,Arrivées,Mohamed Elneny,FC Bâle,"12,50 mio. €"
187,16/17,Arrivées,Carl Jenkinson,West Ham Utd.,Fin du prêt
188,16/17,Arrivées,Yaya Sanogo,Ajax,Fin du prêt
189,16/17,Arrivées,Serge Gnabry,West Brom,Fin du prêt
190,16/17,Arrivées,Chuba Akpom,Hull City,Fin du prêt
191,16/17,Arrivées,Emiliano Martínez,Wolverhampton,Fin du prêt
192,16/17,Arrivées,Wellington Silva,Bolton,Fin du prêt
193,16/17,Arrivées,Yaya Sanogo,Charlton,Fin du prêt
194,16/17,Arrivées,Chuba Akpom,Arsenal U21,-
195,16/17,Arrivées,Alex Iwobi,Arsenal U21,-
196,16/17,Arrivées,Matt Macey,Arsenal U21,-
197,15/16,Départs,Lukas Podolski,Galatasaray,"2,50 mio. €"
198,15/16,Départs,Ryo Miyaichi,FC St. Pauli,Transfert libre
199,15/16,Départs,Abou Diaby,Marseille,Transfert libre
200,15/16,Départs,Semi Ajayi,Cardiff,Transfert libre
201,15/16,Départs,Mathieu Debuchy,G. Bordeaux,Prêt
202,15/16,Départs,Yaya Sanogo,Charlton,Prêt
203,15/16,Départs,Yaya Sanogo,Ajax,Prêt
204,15/16,Départs,Wojciech Szczesny,AS Roma,Prêt
205,15/16,Départs,Chuba Akpom,Hull City,Prêt
206,15/16,Départs,Serge Gnabry,West Brom,Prêt
207,15/16,Départs,Emiliano Martínez,Wolverhampton,Prêt
208,15/16,Départs,Wellington Silva,Bolton,Prêt
209,15/16,Arrivées,Alexis Sánchez,Barcelone,"42,50 mio. €"
210,15/16,Arrivées,Calum Chambers,Southampton,"20,23 mio. €"
211,15/16,Arrivées,Danny Welbeck,Manchester Utd.,"20,00 mio. €"
212,15/16,Arrivées,Gabriel Paulista,Villarreal CF,"15,00 mio. €"
213,15/16,Arrivées,Mathieu Debuchy,Newcastle Utd.,"15,00 mio. €"
214,15/16,Arrivées,David Ospina,OGC Nice,"4,00 mio. €"
215,15/16,Arrivées,Krystian Bielik,Legia Varsovie,"2,25 mio. €"
216,15/16,Arrivées,Emiliano Martínez,Rotherham,Fin du prêt
217,15/16,Arrivées,Wellington Silva,UD Almería,Fin du prêt
218,15/16,Arrivées,Yaya Sanogo,Crystal Palace,Fin du prêt
219,15/16,Arrivées,Semi Ajayi,Cardiff,Fin du prêt
220,15/16,Arrivées,Héctor Bellerín,Arsenal U21,-
221,15/16,Arrivées,Kristoffer Olsson,FC Midtjylland,Fin du prêt
222,15/16,Arrivées,Francis Coquelin,Charlton,Fin du prêt
223,14/15,Départs,Thomas Vermaelen,Barcelone,"19,00 mio. €"
224,14/15,Départs,Johan Djourou,Hamburger SV,"2,80 mio. €"
225,14/15,Départs,Ignasi Miquel,Norwich,"1,90 mio. €"
226,14/15,Départs,Thomas Eisfeld,FC Fulham,"1,50 mio. €"
227,14/15,Départs,Kristoffer Olsson,FC Midtjylland,"1,00 mio. €"
228,14/15,Départs,Joel Campbell,Villarreal CF,"Montant du prêt:1,00 mio. €"
229,14/15,Départs,Lukas Podolski,Inter,Montant du prêt:600 K €
230,14/15,Départs,Francis Coquelin,Charlton,Prêt
231,14/15,Départs,Daniel Boateng,FK Olimpik,Transfert libre
232,14/15,Départs,Nicklas Bendtner,VfL Wolfsburg,Transfert libre
233,14/15,Départs,Bacary Sagna,Manchester City,Transfert libre
234,14/15,Départs,Lukasz Fabianski,Swansea City,Transfert libre
235,14/15,Départs,Semi Ajayi,Cardiff,Prêt
236,14/15,Départs,Emiliano Martínez,Rotherham,Prêt
237,14/15,Départs,Wellington Silva,UD Almería,Prêt
238,14/15,Départs,Carl Jenkinson,West Ham Utd.,Prêt
239,14/15,Départs,Ryo Miyaichi,FC Twente,Prêt
240,14/15,Départs,Kristoffer Olsson,FC Midtjylland,Prêt
241,14/15,Départs,Yaya Sanogo,Crystal Palace,Prêt
242,14/15,Départs,Chu-young Park,Sans club,-
243,14/15,Arrivées,Mesut Özil,Real Madrid,"47,00 mio. €"
244,14/15,Arrivées,Emiliano Viviano,Palermo,"Montant du prêt:1,00 mio. €"
245,14/15,Arrivées,Kim Källström,Spartak Moscou,Montant du prêt:750 K €
246,14/15,Arrivées,Semi Ajayi,Charlton,500 K €
247,14/15,Arrivées,Yaya Sanogo,AJ Auxerre,Transfert libre
248,14/15,Arrivées,Mathieu Flamini,AC Milan,Transfert libre
249,14/15,Arrivées,Nico Yennaris,Bournemouth,Fin du prêt
250,14/15,Arrivées,Emiliano Martínez,Sheff Wed,Fin du prêt
251,14/15,Arrivées,Daniel Boateng,Hibernian FC,Fin du prêt
252,14/15,Arrivées,Chu-young Park,Watford,Fin du prêt
253,14/15,Arrivées,Ignasi Miquel,Leicester City,Fin du prêt
254,14/15,Arrivées,Kristoffer Olsson,Arsenal U18,-
255,14/15,Arrivées,Serge Gnabry,Arsenal U18,-
256,14/15,Arrivées,Daniel Boateng,Arsenal U21,-
257,13/14,Départs,Gervinho,AS Roma,"8,00 mio. €"
258,13/14,Départs,Vito Mannone,AFC Sunderland,"2,40 mio. €"
259,13/14,Départs,Marouane Chamakh,Crystal Palace,"1,20 mio. €"
260,13/14,Départs,Emmanuel Frimpong,Barnsley FC,250 K €
261,13/14,Départs,Francis Coquelin,SC Fribourg,Montant du prêt:200 K €
262,13/14,Départs,Nico Yennaris,Brentford,100 K €
263,13/14,Départs,Nico Yennaris,Bournemouth,Prêt
264,13/14,Départs,Emiliano Martínez,Sheff Wed,Prêt
265,13/14,Départs,Ignasi Miquel,Leicester City,Prêt
266,13/14,Départs,Joel Campbell,Olymp. Pirée,Prêt
267,13/14,Départs,André Santos,Flamengo,Transfert libre
268,13/14,Départs,Johan Djourou,Hamburger SV,Prêt
269,13/14,Départs,Andrey Arshavin,Zenit S-Pb,Transfert libre
270,13/14,Départs,Denílson,FC São Paulo,Transfert libre
271,13/14,Départs,James Shea,Needham Market,Transfert libre
272,13/14,Départs,Elton Monteiro,FC Bruges,Transfert libre
273,13/14,Départs,Sébastien Squillaci,SC Bastia,Transfert libre
274,13/14,Départs,Craig Eastmond,Colchester Utd.,Transfert libre
275,13/14,Départs,Martin Angha,1.FC Nürnberg,Transfert libre
276,13/14,Départs,Chu-young Park,Watford,Prêt
277,13/14,Départs,Wellington Silva,Real Murcia,Prêt
278,13/14,Départs,Daniel Boateng,Hibernian FC,Prêt
279,13/14,Départs,Conor Henderson,Sans club,-
280,13/14,Arrivées,Santi Cazorla,Málaga CF,"19,00 mio. €"
281,13/14,Arrivées,Lukas Podolski,1.FC Köln,"15,00 mio. €"
282,13/14,Arrivées,Olivier Giroud,Montpellier,"12,00 mio. €"
283,13/14,Arrivées,Nacho Monreal,Málaga CF,"10,00 mio. €"
284,13/14,Arrivées,Ryo Miyaichi,Wigan,Fin du prêt
285,13/14,Arrivées,Marouane Chamakh,West Ham Utd.,Fin du prêt
286,13/14,Arrivées,Emmanuel Frimpong,FC Fulham,Fin du prêt
287,13/14,Arrivées,Conor Henderson,Arsenal U21,-
288,13/14,Arrivées,Emiliano Martínez,Arsenal U21,-
289,13/14,Arrivées,Martin Angha,Arsenal U18,-
290,13/14,Arrivées,James Shea,Arsenal U21,-
291,13/14,Arrivées,Conor Henderson,Coventry City,Fin du prêt
292,13/14,Arrivées,Craig Eastmond,Colchester Utd.,Fin du prêt
293,13/14,Arrivées,Emmanuel Frimpong,Charlton,Fin du prêt
294,12/13,Départs,Robin van Persie,Manchester Utd.,"30,70 mio. €"
295,12/13,Départs,Alex Song,Barcelone,"19,00 mio. €"
296,12/13,Départs,Carlos Vela,Real Sociedad,"14,00 mio. €"
297,12/13,Départs,Henri Lansbury,Nottm Forest,"1,25 mio. €"
298,12/13,Départs,Chu-young Park,Celta de Vigo,Montant du prêt:500 K €
299,12/13,Départs,Johan Djourou,Hannover 96,Montant du prêt:400 K €
300,12/13,Départs,Joel Campbell,Real Betis,Prêt
301,12/13,Départs,Pedro Botelho,Atlético-PR,Transfert libre
302,12/13,Départs,Ryo Miyaichi,Wigan,Prêt
303,12/13,Départs,Gavin Hoyte,FC Dag & Red,Transfert libre
304,12/13,Départs,Manuel Almunia,Watford,Transfert libre
305,12/13,Départs,André Santos,Grêmio,Prêt
306,12/13,Départs,Marouane Chamakh,West Ham Utd.,Prêt
307,12/13,Départs,Nicklas Bendtner,Juventus Turin,Prêt
308,12/13,Départs,Conor Henderson,Coventry City,Prêt
309,12/13,Départs,Craig Eastmond,Colchester Utd.,Prêt
310,12/13,Départs,Emmanuel Frimpong,Charlton,Prêt
311,12/13,Départs,Wellington Silva,Ponferradina,Prêt
312,12/13,Départs,Emmanuel Frimpong,FC Fulham,Prêt
313,12/13,Arrivées,Alex Oxlade-Chamberlain,Southampton,"13,80 mio. €"
314,12/13,Arrivées,Mikel Arteta,FC Everton,"12,00 mio. €"
315,12/13,Arrivées,Gervinho,LOSC Lille,"12,00 mio. €"
316,12/13,Arrivées,Per Mertesacker,Werder Bremen,"11,30 mio. €"
317,12/13,Arrivées,André Santos,Fenerbahçe,"7,00 mio. €"
318,12/13,Arrivées,Chu-young Park,AS Monaco,"6,50 mio. €"
319,12/13,Arrivées,Carl Jenkinson,Charlton,"1,13 mio. €"
320,12/13,Arrivées,Joel Campbell,Saprissa,"1,00 mio. €"
321,12/13,Arrivées,Thomas Eisfeld,B. Dortmund U19,750 K €
322,12/13,Arrivées,Thierry Henry,New York RB,Prêt
323,12/13,Arrivées,Yossi Benayoun,Chelsea,Prêt
324,12/13,Arrivées,Wellington Silva,UD Levante,Fin du prêt
325,12/13,Arrivées,Pedro Botelho,Rayo Vallecano,Fin du prêt
326,12/13,Arrivées,Manuel Almunia,West Ham Utd.,Fin du prêt
327,12/13,Arrivées,Francis Coquelin,Arsenal Res.,-
328,12/13,Arrivées,Ignasi Miquel,Arsenal Res.,-
329,12/13,Arrivées,Elton Monteiro,Arsenal U18,-
330,12/13,Arrivées,Emmanuel Frimpong,Arsenal Res.,-
331,12/13,Arrivées,Nico Yennaris,Arsenal U18,-
332,12/13,Arrivées,Nico Yennaris,Notts County,Fin du prêt
333,12/13,Arrivées,Andrey Arshavin,Zenit S-Pb,Fin du prêt
334,12/13,Arrivées,Craig Eastmond,Wycombe Wand.,Fin du prêt
335,12/13,Arrivées,Ryo Miyaichi,Bolton,Fin du prêt
336,12/13,Arrivées,Vito Mannone,Hull City,Fin du prêt
337,12/13,Arrivées,Nicklas Bendtner,AFC Sunderland,Fin du prêt
338,12/13,Arrivées,Henri Lansbury,West Ham Utd.,Fin du prêt
339,12/13,Arrivées,Gavin Hoyte,AFC Wimbledon,Fin du prêt
340,12/13,Arrivées,Emmanuel Frimpong,Wolverhampton,Fin du prêt
341,11/12,Départs,Cesc Fàbregas,Barcelone,"34,00 mio. €"
342,11/12,Départs,Samir Nasri,Manchester City,"27,50 mio. €"
